Date,Tweet,User,Location,Belief,Keywords_used
11/17/2020,Bjohnson21Daryl Lots of boys all over the state got denied their hopes and dreams Hits harder here because our city hosts the event and both schools had a LEGIT LEGIT chance to play at home during the big one Terrible Im calling it the Corona Classic This isnt a state title game at all,b'Crett_H_Blough',b'Open for Business ',.,keywords
11/17/2020,The year is 2019 Its Saturday and the boys are buzzin Swing by Kims for some Coronas and 40s arbyswehavethe2s is the setting for what will be the best kickback until the one next Saturday The gals from school roll up and its nothing but old Drizzy and TravLife is good,b'swaggaanometry',b'',.,keywords
11/17/2020,We started with curbside again today and I cannot wait until corona is over,b'thatgirl_gingaa',"b'Maryland, USA'",.,keywords
11/17/2020,Our current corona spike is 2 weeks after Halloween Yall certainly didnt follow the rules then and it looks like people wont follow them next week for thanksgiving Awful country we live in,b'devansr12',"b'Minneapolis, MN'",.,keywords
11/16/2020,Dear fellow Walmart shoppersI promise I dont have corona Im just stupid and choked on my own saliva,b'melissa____rose',b'252',.,keywords
11/16/2020,marcus is convinced I have corona like a girl cant just sneeze and cough,b'winfield_4',"b'Geneva, NY'",.,keywords
11/16/2020,realDonaldTrump You did not You are on the verge of killing more Americans due to YOU not making a smooth transition of the Corona Virus Drs and experts of yours to the Corona Virus team of Vice Presidents team Come on Donald act like an adult man and provide the info they need,b'CarrieHance3',"b'Nampa, ID'",.,keywords
11/16/2020,Not corona virus but tRump virus Complacency and lies killed Americans,b'cre8u4ia_resist',"b'St Petersburg, FL'",.,keywords
11/16/2020,why does TX gotta have a million and sum Corona virus cases im just trynna see my sisters and my babies Its been 2 years too long,b'marybontog',b'',.,keywords
11/16/2020,misfitnurse amyklobuchar Only when they spread disinformation about this virus and the situation this country is in Yes a corona virus cause the common cold but COVID19 is NOT THE common cold and if you are a nurse you should know that,b'gon_hntn',"b'Texas, USA'",.,keywords
11/16/2020,RBReich Ive been thinking the same thing We need an active productive Corona Virus task team now as we are peaking in hospitalizations and cases Nancy Pelosi can you help out now,b'Findjulie',b'',.,keywords
11/16/2020,My friends from New York came to Atlanta to party and got corona Goes to show Im immune,b'goleaux',"b'Atlanta, GA'",.,keywords
11/16/2020,Lisa488560421 tweetwen115 ChelseaClinton And we wont forget the mishandling of the Corona Virus happening now in a city near you,b'gomeagan',"b'Ferndale, MI'",.,keywords
11/16/2020,Just here for the stupid peopleLuckily there are plentySo lets hear your genius input on Corona Virus and lock downs,b'UMADBRO2587',"b'Washington, USA'",.,keywords
11/16/2020,Gotta be from the country to know fried chicken and corona muhfucka is a dynamic duo,b'Dope1_iAm',b'',.,keywords
11/16/2020,Im not saying getting the corona virus at all was ideal but getting the corona virus and having 3 chemistry tests this week Now thats just another level,b'kcastle1212',"b'Carey, ID'",.,keywords
11/16/2020,BabyFaceLef That and the corona video all types of nasty,b'WaveGod757',"b'Norfolk, VA'",.,keywords
11/16/2020,305miami6924 Especially with my girl dealing with corona patients both of us have stayed well Here almost 50 people in the station and main bureau got it but the 4 of us in my area is the only one that hasnt been affected But proves a bubble and masks do work,b'E4Capt_PartDeux',"b'West Miami, FL'",.,keywords
11/16/2020,ttrump followers have made a choice to expose themselves to the corona virus and he and they want to FORCE THE REST OF US to join them in drinking the Kool aid against our collective wills This is a crime against the american people,b'mmayrising',b'North Carolina',.,keywords
11/16/2020,realDonaldTrump We are getting clobbered more by the Corona Virus and what are you doing about it besides golfing and tweeting conspiracy lies This should show your supporters how much you really care you just want power,b'libertyforall12',"b'Seal Beach, CA'",.,keywords
11/16/2020,Crazy how Georgia In the green on this corona virus situation and we be partying 7 days a week with no masks,b'IamTerroJ',"b'Atlanta, GA'",.,keywords
11/16/2020,thegrlnextdoor Yes and get corona under control so we can have house warmings,b'Dear_Sommer',"b'Washington, DC'",.,keywords
11/16/2020,Please wear mask social distance and keep your hygiene up Corona just took one of our very own This shit is serious,b'_cinderyellaaa_',b'Louisiana \xf0\x9f\x90\x8a',.,keywords
11/16/2020,Thoughts on having a cruise honeymoon Yay nay And another thing to consider will corona virus be a factor since last time around ppl were stuck on a cruise liner for days,b'cutieebun',b'ozp',.,keywords
11/16/2020,America is sadly getting clobbered by the Corona Virus Donald Trump does not like acknowledging this251000 Americans dead while Donald Trump watches and does nothing,b'altakaker',b'',.,keywords
11/16/2020,GOP realDonaldTrump SenateGOP people can see that Republicans of any kind never to ok the Corona virus seriously so people had to look for someone to lead them not the president of the United States So let the Democrats control the virus and Trump all you have to do is leave,b'DouglassWillia9',b'',.,keywords
11/16/2020,Me and corona virus got the same body count,b'chill_ass_guy',b'',.,keywords
11/16/2020,jaketapper They havent killef enough people yet and there is still stupid people who will listen Darwin is on the March with trump leading the way I think we should have a corona convention get all morons in there and get this over Atlas can shake everyones hands and thank them,b'centerant',b'',.,keywords
11/16/2020,realDonaldTrump They do report it You dont watch You only watch Fox news which is a corrupted news channel anyway and its called the Corona virus not the China virus You racial president,b'jbmjam1',"b'South Carolina, USA'",.,keywords
11/16/2020,Atp whatever they claim cures this coronaget it out and let the goofies take it so we can go back to normalcy,b'_Lion_ie',b'Chicago IL',.,keywords
11/16/2020,The silver lining of not spending the holidays with our family is that you dont have to hear any comments about your weight gainloss and you dont have to hear about anybodys dietas Corona decided shed give us this one mental health win,b'orianasrosado',"b'New York, NY'",.,keywords
11/16/2020,QL611 Happy Monday Q My 1 son and his wife tested positive for Corona He in hosp As precaution,b'John37298511',b'United States',.,keywords
